"Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seats_Available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),21:55,07h 25m,05:20,4.3,INR 498,19 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,IntrCity SmartBus,AC Sleeper (2+1),22:45,08h 00m,06:45,4.4,INR 585,11 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Svkdt travels,A/C Sleeper (2+1),22:20,07h 30m,05:50,4.1,INR 519,13 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Pavan Tours and Travels,A/C Sleeper (2+1),22:30,06h 25m,04:55,4.3,527,15 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Go Tour Travels and Holidays,A/C Seater / Sleeper (2+1),21:45,06h 30m,04:15,4.1,561,15 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:15,07h 10m,06:25,4.0,INR 354,19 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,IntrCity SmartBus,A/C Seater / Sleeper (2+1),19:25,07h 35m,03:00,5.0,INR 643,14 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,V Kaveri Travels,Non A/C Seater / Sleeper (2+1),21:00,07h 30m,04:30,4.0,INR 500,14 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Sri Sai Srinivasa Travels,Non A/C Seater / Sleeper (2+1),20:50,07h 40m,04:30,4.1,INR 500,18 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,KPS Buses,A/C Sleeper (2+1),21:15,07h 15m,04:30,4.1,675,32 Seats available"
